Date,Symbol,Return,,Date,Symbol,Return,,Alpha,,,,,
8/9/00,BBY,-0.011986301,,8/9/00,SPY,-0.008406894,,-0.00241994,,,,,
8/10/00,BBY,-0.014731369,,8/10/00,SPY,-0.004875259,,-0.009183721,,,,,
8/11/00,BBY,0.021108179,,8/11/00,SPY,0.004685837,,0.015776078,,,,,
8/14/00,BBY,0.054263566,,8/14/00,SPY,0.012719953,,0.039789294,,,,,
8/15/00,BBY,-0.034313725,,8/15/00,SPY,-0.000837346,,-0.033360894,,,,,
8/16/00,BBY,-0.036379019,,8/16/00,SPY,-0.003561394,,-0.032326442,,,,,
8/17/00,BBY,-0.005267779,,8/17/00,SPY,0.010513036,,-0.017230758,,,,,
8/18/00,BBY,0.041482789,,8/18/00,SPY,-0.003329172,,0.045271116,,,,,
8/21/00,BBY,-0.036440678,,8/21/00,SPY,0.005427975,,-0.042617272,,,,,
8/22/00,BBY,0.016710642,,8/22/00,SPY,-0.00166113,,0.018600872,,,,,
8/23/00,BBY,0.039792388,,8/23/00,SPY,0.003951441,,0.035295969,,,,,
8/24/00,BBY,0.007487521,,8/24/00,SPY,0.003107826,,0.003951068,,,,,
8/25/00,BBY,-0.014037985,,8/25/00,SPY,-0.000413052,,-0.013567965,,,,,
8/28/00,BBY,-0.037688442,,8/28/00,SPY,0.003408886,,-0.041567477,,,,,
8/29/00,BBY,0.00870322,,8/29/00,SPY,0.000205613,,0.008469249,,,,,
8/30/00,BBY,-0.019844694,,8/30/00,SPY,-0.009572633,,-0.008951817,,,,,
8/31/00,BBY,-0.117957746,,8/31/00,SPY,0.013302852,,-0.133095309,,,,,
9/1/00,BBY,0.021956088,,9/1/00,SPY,0.001025943,,0.020788648,,,,,
9/5/00,BBY,-0.00292975,,9/5/00,SPY,-0.007992105,,0.006164615,,,,,
9/6/00,BBY,-0.04407444,,9/6/00,SPY,-0.011360988,,-0.031146559,,,,,
9/7/00,BBY,0.002049246,,9/7/00,SPY,0.008566345,,-0.007698558,,,,,
9/8/00,BBY,0.022494888,,9/8/00,SPY,-0.006836242,,0.030273974,,,,,
9/11/00,BBY,0.031,,9/11/00,SPY,-0.001460466,,0.032661891,,,,,
9/12/00,BBY,0.07371484,,9/12/00,SPY,-0.007311163,,0.082034349,,,,,
9/13/00,BBY,0.017163505,,9/13/00,SPY,0.002630263,,0.01417048,,,,,
9/14/00,BBY,-0.010657194,,9/14/00,SPY,0.005037256,,-0.016389181,,,,,
9/15/00,BBY,0.006283662,,9/15/00,SPY,-0.02432892,,0.033967993,,,,,
9/18/00,BBY,-0.02765388,,9/18/00,SPY,-0.009204082,,-0.017180384,,,,,
9/19/00,BBY,-0.013761468,,9/19/00,SPY,0.009073237,,-0.024086073,,,,,
9/20/00,BBY,0,,9/20/00,SPY,-0.007385898,,0.008404551,,,,,
9/21/00,BBY,0.002790698,,9/21/00,SPY,-0.015205224,,0.020093006,,,,,
9/22/00,BBY,0,,9/22/00,SPY,0.018177514,,-0.020684532,,,,,
9/25/00,BBY,-0.024118738,,9/25/00,SPY,-0.007097986,,-0.016041808,,,,,
9/26/00,BBY,-0.052281369,,9/26/00,SPY,-0.012781948,,-0.037736552,,,,,
9/27/00,BBY,0.023069208,,9/27/00,SPY,0.005266624,,0.017076218,,,,,
9/28/00,BBY,0.032352941,,9/28/00,SPY,0.012879609,,0.017696994,,,,,
9/29/00,BBY,-0.033238367,,9/29/00,SPY,-0.009482759,,-0.022447759,,,,,
10/2/00,BBY,-0.017681729,,10/2/00,SPY,0.001522743,,-0.019414487,,,,,
10/3/00,BBY,-0.003,,10/3/00,SPY,-0.009341417,,0.007629772,,,,,
10/4/00,BBY,-0.008024072,,10/4/00,SPY,0.008333333,,-0.017506727,,,,,
10/5/00,BBY,-0.001011122,,10/5/00,SPY,0.003479774,,-0.004970822,,,,,
10/6/00,BBY,-0.084008032,,10/6/00,SPY,-0.021673169,,-0.05934573,,,,,
10/9/00,BBY,-0.0187846,,10/9/00,SPY,-0.007532122,,-0.010213658,,,,,
10/10/00,BBY,-0.060810811,,10/10/00,SPY,-0.016517857,,-0.042014833,,,,,
10/11/00,BBY,-0.069544365,,10/11/00,SPY,-0.008397974,,-0.059988154,,,,,
10/12/00,BBY,-0.125,,10/12/00,SPY,-0.024948172,,-0.09661101,,,,,
